countries_and_territories,total_cases
Brazil,2694729.0
Russia,2653928.0
United_States_of_America,2126878.0
United_Kingdom,1815933.0
Argentina,1498160.0
Spain,1494820.0
France,1491788.0
Colombia,1425774.0
Italy,1370984.0
Germany,1337078.0
India,1266602.0
Mexico,1250044.0
Poland,1135676.0
Iran,1108269.0
Peru,984973.0
Turkey,962273.0
Ukraine,900666.0
South_Africa,860964.0
Indonesia,617820.0
Netherlands,612746.0
Belgium,608001.0
Czechia,581079.0
Iraq,574634.0
Romania,556335.0
Chile,535740.0
Bangladesh,490533.0
Canada,460743.0
Philippines,449400.0
Pakistan,440787.0
Morocco,399609.0
Switzerland,372329.0
Saudi_Arabia,359888.0
Israel,357859.0
Portugal,348744.0
Sweden,320098.0
Austria,320036.0
Hungary,283870.0
Serbia,266432.0
Jordan,259614.0
Nepal,248423.0
Ecuador,202110.0
Panama,193007.0
Georgia,191063.0
Kazakhstan,186277.0
United_Arab_Emirates,184949.0
Japan,179653.0
Bulgaria,179449.0
Croatia,175886.0
Azerbaijan,175874.0
Belarus,160295.0
Dominican_Republic,154692.0
Costa_Rica,150947.0
Armenia,148682.0
Bolivia,147150.0
Lebanon,146520.0
Kuwait,146218.0
Qatar,140961.0
Slovakia,132984.0
Guatemala,129282.0
Moldova,126518.0
Oman,126240.0
Palestine,124657.0
Greece,124534.0
Egypt,121575.0
Ethiopia,116769.0
Honduras,114359.0
Tunisia,111361.0
Denmark,109758.0
Myanmar,108342.0
Venezuela,107177.0
Puerto_Rico,107158.0
Bosnia_and_Herzegovina,101117.0
Slovenia,96314.0
Lithuania,95021.0
Paraguay,93582.0
Algeria,92102.0
China,92021.0
Kenya,91892.0
Libya,90779.0
Bahrain,89143.0
Malaysia,83475.0
Kyrgyzstan,77674.0
Ireland,76185.0
Uzbekistan,75094.0
North_Macedonia,73638.0
Nigeria,73175.0
Singapore,58320.0
Ghana,53014.0
Afghanistan,49273.0
Albania,48530.0
Kosovo,46580.0
South_Korea,43484.0
El_Salvador,41880.0
Montenegro,41426.0
Luxembourg,41272.0
Norway,40022.0
Sri_Lanka,32790.0
Finland,30810.0
Australia,28031.0
Uganda,27532.0
Latvia,25675.0
Cameroon,25143.0
Cote_dIvoire,21680.0
Sudan,21386.0
Zambia,18274.0
Estonia,18055.0
Madagascar,17638.0
Senegal,17075.0
Mozambique,16954.0
Namibia,16536.0
Angola,16188.0
French_Polynesia,15618.0
Cyprus,15101.0
Democratic_Republic_of_the_Congo,14512.0
Guinea,13420.0
Maldives,13368.0
Tajikistan,12704.0
Botswana,12501.0
Jamaica,11710.0
Cape_Verde,11357.0
Zimbabwe,11246.0
Malta,11101.0
Mauritania,10780.0
Uruguay,9708.0
Haiti,9565.0
Cuba,9423.0
Gabon,9330.0
Belize,9295.0
Syria,9166.0
Bahamas,7674.0
Andorra,7338.0
Guam,7106.0
Trinidad_and_Tobago,6879.0
Eswatini,6768.0
Rwanda,6659.0
Malawi,6066.0
Congo,6049.0
Guyana,5920.0
Nicaragua,5887.0
Mali,5814.0
Djibouti,5728.0
Iceland,5557.0
Suriname,5353.0
Equatorial_Guinea,5185.0
Aruba,5049.0
Central_African_Republic,4936.0
Somalia,4579.0
Thailand,4237.0
Burkina_Faso,4030.0
Gambia,3782.0
Curaçao,3624.0
Togo,3251.0
South_Sudan,3206.0
Benin,3090.0
Guinea_Bissau,2444.0
Sierra_Leone,2440.0
Niger,2258.0
Lesotho,2250.0
Yemen,2083.0
San_Marino,1947.0
United_States_Virgin_Islands,1807.0
Jersey,1779.0
Chad,1770.0
New_Zealand,1740.0
Liberia,1676.0
Liechtenstein,1514.0
Vietnam,1397.0
Sint_Maarten,1232.0
Gibraltar,1075.0
Sao_Tome_and_Principe,1009.0
Mongolia,912.0
Turks_and_Caicos_islands,769.0
Western_Sahara,766.0
Taiwan,740.0
Burundi,729.0
Papua_New_Guinea,725.0
Eritrea,711.0
Cases_on_an_international_conveyance_Japan,696.0
Monaco,668.0
Comoros,628.0
Faroe_Islands,528.0
Mauritius,515.0
United_Republic_of_Tanzania,509.0
Bhutan,438.0
Bermuda,431.0
Isle_of_Man,370.0
Cambodia,359.0
Cayman_Islands,298.0
Barbados,292.0
Guernsey,289.0
Saint_Lucia,275.0
Seychelles,187.0
"Bonaire, Saint Eustatius and Saba",173.0
Brunei_Darussalam,152.0
Antigua_and_Barbuda,148.0
Northern_Mariana_Islands,113.0
Saint_Vincent_and_the_Grenadines,98.0
Dominica,87.0
British_Virgin_Islands,76.0
Grenada,69.0
Fiji,46.0
Laos,41.0
New_Caledonia,36.0
Timor_Leste,31.0
Saint_Kitts_and_Nevis,27.0
Holy_See,26.0
Greenland,19.0
Falkland_Islands_(Malvinas),19.0
Solomon_Islands,17.0
Montserrat,13.0
Anguilla,10.0
Marshall_Islands,4.0
Wallis_and_Futuna,3.0
Vanuatu,1.0
